INDEX;SPACING;COMMENTARY;AGE;NATIONALITY;FOOT;WEIGHT;HEIGHT;FORM;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;INJURY TOLERANCE;GROWTH TYPE;MARKET PRICE;GK 0;SW 1;CB 2;LB 3;RB 4;DMF 5;CMF 6;LMF 7;RMF 8;AMF 9;LWF 10;RWF 11;SS 12;CF 13;POSITION;ATTACK;DEFENCE;HEADER ACCURACY;DRIBBLE ACCURACY;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;PLACE KICKING;SWERVE;BALL CONTROLL;GOAL KEEPING SKILLS;RESPONSE;EXPLOSIVE POWER;DRIBBLE SPEED;TOP SPEED;BODY BALANCE;STAMINA;KICKING POWER;JUMP;TENACITY;TEAMWORK;S01 1-TOUCH PLAY;S02 OUTSIDE CURVE;S03 LONG THROW;S04 SUPER-SUB;S05 SPEED MERCHANT;S06 LONG RANGE DRIVE;S07 SHOULDER FEINT SKILLS;S08 TURNING SKILLS;S09 ROULETTE SKILLS;S10 FLIP FLAP SKILLS;S11 FLICKING SKILLS;S12 SCISSORS SKILLS;S13 STEP ON SKILLS;S14 DEFT TOUCH SKILLS;S15 KNUCKLE SHOT;S16 JUMPING VOLLEY;S17 SCISSOR KICK;S18 HEEL FLICK;S19 WEIGHTED PASS;S20 DOUBLE TOUCH;S21 RUN AROUND;S22 SOMBRERO;S23 180 DRAG;S24 LUNGING TACKLE;S25 DIVING HEADER;S26 GK LONG THROW;P01 CLASSIC NO.10;P02 ANCHOR MAN;P03 TRICKSTER;P04 DARTING RUN;P05 MAZING RUN;P06 PINPOINT PASS;P07 EARLY CROSS;P08 BOX TO BOX;P09 INCISIVE RUN;P10 LONG RANGER;P11 ENFORCER;P12 GOAL POACHER;P13 DUMMY RUNNER;P14 FREE ROAMING;P15 TALISMAN;P16 FOX IN THE BOX;P17 OFFENSIVE SIDEBACK;P18 TRACK BACK;ATTACK AWARENESS;DEFENCE AWARENESS;SKIN COLOR;SKIN TEXTURE;FACE MODE;LINKED FACE;FACE SLOT;LINKED HAIR;HAIR SLOT;BOOTS;UNTUCKED SHIRT;TIGHT KIT;GLOVES;DRIBBLE STYLE;FREE KICK STYLE;PENALTY KICK STYLE;DROP KICK STYLE;GOAL CELEBRATION STYLE #1;GOAL CELEBRATION STYLE #2;CLUB TEAM;NUMBER;NATIONAL TEAM
721;2;697;33;Ireland;R;95;188;7;5;4;A;20;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;CB;53;85;82;71;73;72;73;70;63;72;64;72;50;81;65;67;80;88;76;86;77;82;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;640;1;4715;22;1;0;0;1;8;1;1;0;0;WEST MIDLANDS VILLAGE;5;IRLANDA
723;2;0;35;Ireland;L;74;175;4;7;6;A;77;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;LB;72;60;65;74;74;77;81;88;67;84;92;72;50;72;71;72;72;72;74;87;71;68;72;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4316;21;0;0;0;1;1;1;1;0;0;BERKSHIRE BLUES;23;
729;2;2086;32;Ireland;R;64;175;5;6;5;A;198;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;84;38;70;76;75;75;72;73;84;65;69;80;50;85;82;73;77;74;75;75;74;87;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;2;1;1;Special;1;629;1;4704;8;0;0;0;1;1;1;1;29;0;;10;IRLANDA
736;2;695;33;Ireland;L;75;177;4;6;6;C;72;5;0;0;0;1;1;0;0;1;1;0;1;1;1;0;RMF;77;55;67;86;78;80;79;79;74;73;83;82;50;82;84;82;77;78;83;78;70;80;83;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;626;1;4701;18;0;0;0;2;1;1;1;9;0;WEST LONDON WHITE;16;IRLANDA
737;2;615;36;Ireland;R;74;183;5;5;5;C;106;4;0;0;0;1;1;0;1;1;1;0;0;0;0;0;CMF;72;63;71;74;76;75;75;75;65;65;72;73;50;71;74;76;73;73;77;77;75;72;84;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4513;21;0;0;0;1;1;1;1;0;0;THE POTTERIES;24;
742;2;0;35;Northern Ireland;R;80;188;6;3;3;A;81;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;84;41;50;56;58;45;55;40;41;41;45;80;86;70;51;63;83;60;80;77;65;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;1285;1;5360;27;0;0;0;1;1;1;1;0;0;OLYMPIACOS FC;1;
745;2;2;32;Northern Ireland;R;78;183;6;4;4;A;138;4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;CB;59;82;75;74;75;77;77;77;62;64;65;75;50;82;75;73;77;76;80;76;76;82;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;1276;1;5351;20;0;0;0;1;8;1;1;0;0;WEST LONDON WHITE;18;IRLANDA DO NORTE
793;2;948;38;Wales;L;68;180;4;5;4;C;102;7;0;0;0;0;0;0;1;1;0;1;1;0;1;0;CMF;83;62;70;86;87;84;88;83;74;81;83;88;50;75;78;82;76;75;78;77;73;82;86;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;1375;1;5450;21;0;0;0;2;7;1;1;57;0;MANCHESTER UNITED;11;
801;2;2257;33;Wales;R;76;178;5;7;6;B;212;3;0;0;0;0;0;0;1;1;1;1;0;0;0;0;RMF;76;65;66;80;78;78;83;80;72;76;80;82;50;80;84;80;76;74;83;82;69;74;76;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1379;1;5454;20;1;0;0;1;1;1;1;0;0;WEST LONDON WHITE;29;
804;2;265;33;Wales;R;69;175;4;6;6;C;106;5;0;0;0;0;0;0;0;1;1;0;1;1;1;0;SS;85;47;70;77;74;76;77;77;77;73;77;74;50;82;87;87;90;73;86;79;79;84;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;2;1;1;Special;1;1374;1;5449;21;1;0;0;4;1;1;1;0;0;MERSEYSIDE RED;39;
811;2;248;31;England;L;79;183;7;5;4;B;97;5;0;0;1;1;0;1;1;1;0;0;0;0;0;0;DMF;72;75;70;77;81;84;85;85;71;72;77;79;50;79;74;75;71;84;83;80;77;76;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;1091;1;5166;4;0;0;0;3;1;1;1;0;0;MAN BLUE;18;
816;2;2192;37;England;R;70;170;4;5;5;B;3;6;0;0;0;0;0;1;1;1;1;1;0;0;1;0;CMF;79;64;84;83;89;85;88;89;72;71;72;83;50;77;70;74;67;75;76;85;73;82;92;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;3;1;1;Special;1;403;1;4478;19;1;0;0;2;1;1;1;0;0;MANCHESTER UNITED;22;
820;2;842;33;England;R;86;191;4;5;5;C;47;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;CB;56;89;82;75;76;80;75;77;58;63;62;80;50;80;70;72;72;87;74;77;81;85;81;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;Special;1;400;1;4475;8;0;0;0;1;1;1;1;0;0;MANCHESTER UNITED;5;
821;2;1966;35;England;R;76;180;6;6;6;C;56;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;DMF;63;73;72;75;76;84;73;75;66;66;65;75;50;83;75;74;74;74;82;76;71;84;86;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;1;1;Special;1;399;1;4474;20;0;0;0;1;1;1;1;0;0;MERSEYSIDE BLUE;18;
822;2;944;32;England;R;80;185;4;6;6;C;63;7;0;0;0;0;0;1;1;1;1;1;0;0;1;0;CMF;83;69;83;80;83;92;91;92;75;75;75;82;50;75;71;76;75;83;81;91;76;92;85;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;3;1;1;Special;1;408;1;4483;1;0;0;0;1;8;1;1;68;82;MERSEYSIDE RED;8;INGLATERRA
823;2;0;33;England;R;64;173;2;5;5;C;84;4;0;0;0;1;1;0;1;1;1;1;1;1;0;0;RMF;75;50;65;80;77;77;77;74;73;67;75;78;50;76;83;81;82;73;70;77;80;73;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;Special;1;388;1;4463;26;0;0;0;1;1;1;1;0;0;NORTH WEST LONDON;8;
826;2;0;30;England;R;76;175;4;6;5;C;87;6;0;0;0;0;0;0;0;1;1;1;1;1;1;0;AMF;78;52;63;87;85;85;83;83;72;71;75;86;50;74;84;86;78;77;77;76;78;70;72;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;384;1;4459;7;0;0;0;1;1;1;1;0;0;MERSEYSIDE RED;45;
830;2;2016;36;Portugal;R;80;182;6;4;4;B;110;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;83;55;56;60;57;66;69;45;45;45;58;80;87;80;61;75;79;62;83;82;80;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;Special;1;910;1;4985;23;0;0;0;1;1;1;3;0;0;S.C. BRAGA;1;
847;2;2256;32;Portugal;R;64;170;6;6;6;C;40;5;0;0;0;0;0;0;0;1;1;1;1;1;1;0;LMF;83;55;67;86;82;77;84;83;80;85;86;86;50;74;81;84;77;74;76;84;74;78;80;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;2;1;Special;1;915;1;4990;23;1;0;0;4;10;2;1;0;0;BESIKTAS JK;20;
852;2;428;31;Spain;L;79;185;7;4;4;A;159;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;98;55;56;58;59;59;64;45;45;45;47;95;97;79;57;75;81;60;75;85;91;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;438;1;4513;1;1;0;0;1;1;1;1;0;0;REAL MADRID;1;ESPANHA
856;2;1560;36;Spain;R;80;176;5;5;5;B;118;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RB;67;70;70;73;73;71;73;70;58;55;62;72;50;77;75;74;75;75;78;74;74;82;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4506;25;0;0;0;1;1;1;1;0;0;RC DEPORTIVO;2;
865;2;2011;34;Spain;R;80;178;7;5;4;B;31;7;0;0;1;1;1;0;0;0;0;0;0;0;0;0;CB;58;94;79;74;73;74;73;72;63;61;61;75;50;90;81;75;80;86;83;78;90;95;86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;454;1;4529;7;1;0;0;1;1;1;1;0;72;FC BARCELONA;5;
866;2;2526;32;Spain;R;68;170;8;5;4;A;75;7;0;0;0;0;0;1;1;1;1;1;0;0;0;0;CMF;86;68;70;90;98;95;90;84;73;79;82;95;50;78;83;76;74;74;90;78;73;80;98;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;1;1;Special;1;462;1;4537;1;1;0;0;3;10;1;1;77;10;FC BARCELONA;6;ESPANHA
925;2;2207;36;Netherlands;R;80;177;5;6;5;A;4;7;0;0;0;0;0;1;1;1;1;1;0;0;1;0;AMF;80;64;72;84;87;84;84;83;72;75;80;88;50;74;73;76;73;83;78;87;75;75;85;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;3;2;5;1;Special;1;868;1;4943;4;0;0;1;1;11;1;1;0;0;BOTAFOGO;10;
935;2;337;34;Netherlands;L;81;178;3;4;4;C;52;4;0;0;1;1;0;1;0;1;0;0;1;0;0;0;CB;66;77;72;78;80;78;81;78;71;77;82;78;50;73;68;70;74;79;75;82;73;76;70;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;Special;1;881;1;4956;19;0;0;0;1;1;1;1;0;0;PSV;3;
970;2;2377;36;Italy;R;82;180;5;6;6;B;4;7;0;0;0;0;0;0;1;0;0;1;0;0;1;1;SS;90;31;77;91;91;82;93;79;88;88;85;91;50;76;75;75;74;82;75;84;73;85;82;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;Special;1;682;1;4757;18;1;0;1;3;8;1;1;67;38;A.S. ROMA;10;
977;2;112;35;Italy;R;72;182;6;7;6;B;84;6;0;0;1;0;0;1;1;0;0;0;0;0;0;1;DMF;65;79;87;74;76;80;75;77;70;64;63;75;50;82;74;74;74;84;84;77;85;82;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;1;1;Special;1;694;1;4769;4;1;0;0;1;1;1;1;0;0;A.C. MILAN;23;
983;2;372;34;Italy;R;83;192;7;4;4;B;227;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;98;55;62;62;63;63;63;45;45;45;60;98;96;75;57;73;87;62;78;86;82;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;685;1;4760;9;1;0;0;1;1;1;1;0;0;JUVENTUS F.C.;1;ITÁLIA
998;2;1171;34;Czech Republic;R;91;196;6;6;5;A;22;2;0;0;1;0;0;1;1;1;1;1;0;0;0;1;CB;68;76;78;75;73;74;78;79;67;71;70;71;50;78;69;74;74;86;79;85;75;74;82;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4520;25;0;0;0;1;8;1;1;0;0;SPARTA PRAHA;39;
1001;2;2126;31;Czech Republic;R;65;178;4;7;5;C;84;6;0;0;0;0;0;0;1;1;1;1;1;1;0;0;AMF;80;57;73;86;87;85;83;82;70;73;77;88;50;75;82;81;75;72;77;78;74;70;80;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;1;1;Special;1;298;1;4373;9;1;0;1;1;10;1;1;0;0;NORTH LONDON;7;REPÚBLICA CHECA
1036;2;2116;34;Denmark;R;68;177;6;5;5;C;81;4;0;0;0;0;0;0;0;0;1;0;0;1;0;0;RWF;75;53;72;84;78;80;82;85;75;73;73;82;50;72;85;83;83;70;75;77;70;72;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;346;1;4421;18;1;0;0;2;1;1;1;0;0;;10;DINAMARCA
1049;2;2280;36;Denmark;R;89;196;5;4;4;B;48;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;35;84;55;57;50;63;51;67;45;45;45;54;80;92;70;55;63;79;62;75;76;68;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;354;1;4429;7;0;0;0;1;1;1;1;0;0;THE POTTERIES;29;
1066;2;2079;32;Norway;L;82;188;6;4;4;A;47;5;0;0;1;1;0;0;0;1;0;0;0;0;0;0;LB;76;62;68;77;75;83;78;95;72;80;70;78;50;77;76;80;80;83;82;90;78;79;76;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;2;1;1;Special;1;886;1;4961;23;1;0;0;1;8;1;1;0;0;WEST LONDON WHITE;3;NORUEGA
1070;2;402;33;Norway;R;88;193;4;5;5;C;189;5;0;0;0;0;0;0;0;1;1;0;1;1;1;1;CF;80;53;75;79;74;73;73;74;74;72;65;81;50;74;73;80;80;87;77;82;72;68;78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;Special;1;887;1;4962;28;1;0;1;2;8;1;1;20;0;;23;NORUEGA
1075;2;1681;35;Sweden;R;85;187;6;5;5;B;4;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;CB;56;84;85;72;72;70;73;80;63;72;63;73;50;76;67;69;73;85;75;84;78;82;77;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;976;1;5051;7;0;0;0;1;8;1;1;0;0;;3;SUÉCIA
1086;2;121;36;Sweden;R;80;177;7;5;5;B;55;4;0;0;0;0;0;1;1;0;0;1;0;0;0;0;CMF;72;66;71;83;83;80;81;77;80;82;83;85;50;82;73;75;74;75;80;81;68;76;83;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;958;1;5033;21;0;0;0;1;1;1;1;0;0;;8;SUÉCIA
